ProbeID	Chr	Locus	LRS	MaxLODpvalue	p001	p05	p10
1415730_at	11	rs3673722	8.052093	0.808000	18.900724	14.094507	12.896409
1415731_at	2	rs3709716	10.604058	0.516000	26.495943	16.567299	14.997585
1415732_at	14	UT_9_81.82101	7.966915	0.896000	23.054803	15.952678	14.214490
1415734_at	7	rs6295100	11.032000	0.426000	27.155622	16.034459	14.788659
1415735_at	14	rs3692863	7.409724	0.885000	18.626670	13.792006	12.870196
1415736_at	17	rs6397584	7.788109	0.899000	24.543688	15.866576	14.369990
1415737_at	19	rs3686467	47.515387	0.000000	27.956782	17.486991	15.673348
1415738_at	4	gnf04.117.102	11.593643	0.383000	26.351748	16.556392	15.273810
1415739_at	1	rs13476045	9.262347	0.367000	17.528787	12.422740	11.441208
1415740_at	8	rs6182338	7.541607	0.868000	21.474657	14.284079	12.983629
1415741_at	3	rs13477308	9.840376	0.634000	26.091690	16.072053	14.275098
1415742_at	10	rs13480575	8.732144	0.533000	16.673529	12.179661	11.530792
1415743_at	9	rs3725272	9.063493	0.501000	18.642672	13.650976	12.191660
1415744_at	10	rs6237927	10.547191	0.407000	19.715795	14.002900	13.129916
1415745_a_at	1	gnf01.107.327	9.082654	0.753000	24.872504	16.140265	14.687474
1415746_at	19	rs4232105	12.772725	0.088000	19.969154	13.780097	12.432808
1415747_s_at	1	rs6302966	12.149525	0.259000	24.625750	15.294606	14.069022
1415748_a_at	19	mCV25314100	8.381927	0.839000	24.978751	15.599873	14.348888
1415749_a_at	8	rs13479605	8.278509	0.849000	27.645320	15.870534	14.516911
1415750_at	10	rs13480802	9.829044	0.406000	18.236432	13.612603	12.557405
1415751_at	4	rs13478069	17.332573	0.008000	21.344492	14.321673	13.073580
1415752_at	5	D5Mit388	8.054391	0.873000	28.027266	16.559077	15.136291
1415753_at	5	D5Mit388	8.790367	0.749000	26.533477	16.653772	14.862456
1415754_at	15	CEL-15_74419628	8.686353	0.777000	22.840801	15.835914	14.674539
1415756_a_at	5	rs6237838	7.161357	0.916000	20.837428	14.078802	13.034540
1415757_at	14	rs3692863	7.226710	0.727000	13.688004	11.475722	10.470166
1415758_at	5	rs6265085	10.085569	0.663000	31.838281	17.369633	15.607341
1415759_a_at	6	rs13478705	10.300994	0.533000	21.508526	15.548013	14.063300
1415760_s_at	10	rs6237927	11.306360	0.296000	19.943677	14.974170	13.913639
1415761_at	10	rs6237927	8.306641	0.797000	20.309423	14.697244	13.615006
1415762_x_at	1	rs13476267	7.876444	0.818000	20.892882	13.424763	12.648204
1415763_a_at	10	rs13480575	19.003206	0.017000	24.913719	16.514410	14.809959
1415765_at	5	D5Mit388	13.149008	0.193000	22.509220	16.216268	14.734546
1415766_at	2	rs13459060	9.940559	0.579000	25.220395	15.560978	14.255947
1415767_at	10	rs13480570	8.894836	0.623000	20.725055	13.745515	12.796502
1415768_a_at	1	rs6189020	14.489256	0.141000	24.673886	17.136216	15.437136
1415769_at	8	rs13479605	9.246688	0.741000	27.550281	17.169284	15.442637
1415770_at	2	rs13459060	11.598342	0.452000	25.160033	17.091791	15.619755
1415771_at	5	D5Mit388	13.585534	0.155000	30.928639	16.035395	14.565229
1415772_at	2	rs13476419	11.990679	0.204000	21.624660	14.635588	13.466486
1415773_at	1	rs8242766	11.802565	0.125000	16.768051	13.158090	12.214610
1415774_at	5	CEL-5_3149134	8.694685	0.737000	23.047688	15.116473	13.534590
1415775_at	5	D5Mit388	7.803642	0.859000	22.833256	14.973413	13.503105
1415776_at	9	rs13480365	7.369263	0.726000	18.213239	11.823663	10.872216
1415777_at	2	rs13476520	11.176651	0.226000	27.619931	14.648039	12.896709
1415780_a_at	11	rs3659787	9.701828	0.636000	24.226164	15.955968	14.773308
1415783_at	15	rs13482420	10.809379	0.322000	18.682712	13.999241	12.935363
1415784_at	18	rs4231742	7.970491	0.898000	24.605132	16.599260	15.102692
1415785_a_at	18	rs4231742	9.963763	0.443000	21.768000	14.298990	13.210383
1415786_at	1	CEL-1_182091301	8.131955	0.752000	20.394749	13.505353	12.569618
1415787_at	8	rs13479605	13.624866	0.142000	24.789565	16.301290	14.535050
1415790_at	7	rs13479416	17.359949	0.029000	22.224601	16.349623	14.595152
1415791_at	15	rs13482420	6.268958	0.983000	21.567468	14.404916	13.213952
1415792_at	10	rs6237927	8.694959	0.616000	26.129082	13.802194	12.428950
1415793_at	1	NES13033186	15.980125	0.022000	22.435440	14.633746	13.706789
1415794_a_at	12	rs6170344	12.462409	0.121000	20.484722	13.735206	12.720981
1415795_at	12	rs6170344	8.130229	0.890000	35.198466	17.061221	15.245970
1415796_at	5	D5Mit388	8.344725	0.791000	23.098313	15.585900	13.994204
1415797_at	9	rs8254361	9.927749	0.616000	23.604112	16.189977	14.901719
1415798_at	14	UT_9_81.82101	8.762548	0.795000	35.219441	16.888847	14.914490
1415799_at	18	rs6163326	13.964068	0.170000	25.082256	16.854723	15.433914
1415800_at	18	rs13483314	18.525317	0.020000	31.430964	15.606074	13.956562
1415801_at	12	rs6170344	7.653935	0.928000	23.590040	16.675006	15.147072
1415802_at	19	rs4232105	12.003457	0.197000	20.871426	14.537483	13.489622
1415803_at	1	rs3687595	8.492998	0.816000	24.858084	15.985911	14.682701
1415804_at	15	D15Mit63	10.049620	0.641000	29.410676	17.110358	15.654215
1415805_at	1	rs6312657	9.631206	0.595000	25.425737	15.305595	14.064464
1415806_at	11	rs3659787	10.025665	0.476000	26.708197	14.709076	13.514314
1415807_s_at	11	rs13481251	14.945126	0.063000	25.071228	15.287642	13.949004
1415808_at	11	rs4228731	6.696716	0.981000	23.932304	16.752180	14.844344
1415809_at	15	CEL-15_93879270	8.771252	0.714000	29.888986	15.682636	14.270923
1415810_at	19	rs13483669	7.314311	0.933000	26.252305	16.881190	15.340022
1415812_at	4	CEL-4_95227224	8.298710	0.752000	18.838703	13.656298	12.460072
1415813_at	12	rs6170344	9.170090	0.651000	25.305144	15.166697	13.878872
1415814_at	4	rs3704486	9.036939	0.537000	18.404524	13.295632	12.299353
1415815_at	8	rs13479605	13.062085	0.255000	26.901853	17.351788	15.609056
1415816_at	14	rs3692863	11.619020	0.188000	21.552731	14.112362	12.832588
1415817_s_at	5	D5Mit388	8.484519	0.715000	20.176665	14.564759	13.465092
1415818_at	14	rs3710916	17.471308	0.020000	24.088193	15.664817	14.057580
1415819_a_at	7	rs6295100	11.331953	0.270000	19.343839	14.520548	13.277090
1415821_at	3	mCV22953681	8.809097	0.532000	19.712385	13.022562	12.070220
1415822_at	3	mCV22953681	8.275800	0.731000	26.578984	13.866447	12.534521
1415823_at	18	rs13483213	11.977542	0.270000	25.311804	15.480223	14.003875
1415824_at	19	rs13483639	15.924216	0.073000	26.120566	17.026382	15.257281
1415825_s_at	5	rs3662682	8.233048	0.616000	19.002185	12.815330	11.594889
1415826_at	18	rs13483183	8.984641	0.552000	19.982860	13.423035	12.531363
1415827_a_at	14	rs3689508	7.165108	0.955000	24.790107	16.655204	14.984576
1415828_a_at	12	rs6170344	12.683438	0.197000	27.489876	15.606757	14.260061
1415829_at	15	rs13482420	11.009167	0.352000	23.417855	14.603075	13.539969
1415830_at	1	rs6174159	8.033093	0.889000	26.524241	16.381236	15.040778
1415831_at	9	rs13480365	8.543688	0.749000	20.428450	14.539806	13.298296
1415832_at	10	rs13480575	10.278583	0.438000	20.953667	14.799513	13.535321
1415834_at	19	rs3672117	14.342431	0.126000	21.016643	16.353580	14.776509
1415835_at	10	rs13480575	10.594808	0.351000	19.512584	13.713853	12.985917
1415836_at	14	rs3710916	18.236379	0.050000	38.027589	18.252201	16.248903
1415838_at	3	rs3674751	10.759792	0.239000	21.857556	13.410185	12.434546
1415840_at	9	UT_9_82.824657	11.410226	0.341000	21.570082	15.745210	14.187536
1415841_at	2	rs4223510	9.333142	0.780000	28.770788	18.300483	15.897205
1415842_at	14	rs6352085	8.490796	0.829000	24.512731	16.682748	15.154114
1415843_at	15	rs13482635	7.991554	0.918000	28.824049	16.831765	15.121803
1415844_at	1	rs6302966	12.453494	0.179000	21.944644	14.724761	13.596437
1415845_at	2	rs13459060	10.904806	0.390000	28.477534	15.836768	14.441119
1415846_a_at	11	rs3673722	12.193424	0.170000	22.676819	14.439784	13.178307
1415847_at	8	rs13479605	13.230923	0.075000	21.445129	13.858905	12.746822
1415850_at	8	rs6400423	11.325891	0.280000	18.886818	14.200903	13.202021
1415851_a_at	10	rs13480802	7.087591	0.969000	26.308046	16.568901	15.018741
1415853_at	8	rs13479605	8.834777	0.745000	29.805474	16.195165	14.302075
1415854_at	12	rs6170344	9.172363	0.753000	32.292061	17.641052	15.210831
1415855_at	15	rs13482420	13.680770	0.180000	23.471142	16.802546	15.294960
1415856_at	2	UT_2_119.151187	7.785565	0.073000	10.395519	8.067296	7.570509
1415857_at	15	D15Mit63	8.492473	0.496000	15.911041	12.031921	11.024486
1415858_at	5	D5Mit388	10.178556	0.294000	18.753331	13.209037	12.093891
1415859_at	16	rs4219239	9.721682	0.631000	21.941281	15.916718	14.216236
1415861_at	7	rs13479392	12.436201	0.287000	22.832770	16.812463	15.324403
1415862_at	3	rs3674751	9.933457	0.331000	18.088415	13.553832	12.095369
1415863_at	3	rs13477144	13.801066	0.163000	25.202086	16.927067	15.051495
1415864_at	9	rs13480365	8.195088	0.840000	23.739579	14.859407	13.785261
1415865_s_at	16	rs4221305	8.255820	0.879000	25.665972	16.797553	14.860525
1415866_at	10	rs13480575	8.878610	0.597000	17.284223	12.971751	11.983967
1415867_at	5	D5Mit388	11.341733	0.294000	21.607903	14.709766	13.642630
1415868_at	5	rs3664617	21.054535	0.012000	27.241425	17.786019	15.753748
1415869_a_at	8	gnf08.119.598	8.416085	0.835000	23.193069	15.691163	14.141741
1415870_at	5	D5Mit388	8.015019	0.791000	20.641557	13.316306	12.410730
1415871_at	13	rs13481817	18.003162	0.024000	28.706239	16.914009	15.176658
1415873_a_at	10	rs6237927	7.871703	0.741000	23.042620	13.493457	12.291403
1415874_at	3	rs3665109	22.606446	0.005000	25.193408	17.006005	15.141753
1415877_at	10	rs13480570	14.428603	0.187000	25.466090	18.002634	16.256099
1415878_at	10	rs13480570	13.889699	0.063000	18.384985	14.229212	13.200064
1415879_a_at	12	rs13481565	7.458821	0.888000	26.492396	14.786898	13.352954
1415880_a_at	9	rs3665911	10.544835	0.357000	22.384071	15.031172	13.481982
1415881_at	5	D5Mit388	11.006174	0.351000	22.099830	15.110074	13.973058
1415882_at	12	rs6170344	10.838206	0.527000	25.777555	17.704234	16.126113
1415883_a_at	5	CEL-5_3149134	9.212460	0.750000	25.387649	16.359529	14.777345
1415885_at	5	rs3656989	12.311952	0.127000	22.658279	14.040713	12.840236
1415886_at	4	rs6232550	8.455050	0.822000	24.157278	15.580636	14.273998
1415887_at	5	D5Mit388	11.340648	0.371000	22.231411	15.485400	14.328915
1415888_at	5	CEL-5_3149134	12.850265	0.343000	32.653512	19.088254	16.887986
1415889_a_at	5	rs3696754	11.839537	0.248000	19.973465	15.119723	13.704818
1415890_at	5	rs3662682	13.018093	0.264000	26.189090	17.526132	15.723051
1415891_at	5	D5Mit388	10.628491	0.451000	22.263330	15.096217	13.904575
1415892_at	9	rs3665911	8.978129	0.693000	26.456178	15.366237	13.994387
1415893_at	19	UT_19_10.709331	8.793508	0.755000	23.602251	16.011134	14.582446
1415894_at	19	rs4232105	8.572379	0.802000	22.021830	16.051115	14.602585
1415896_x_at	2	rs3674193	8.716643	0.753000	21.989155	15.839647	13.841011
1415897_a_at	5	D5Mit388	17.183660	0.016000	23.952546	15.350092	14.254390
1415898_at	12	rs13481599	9.616730	0.444000	19.707279	13.532001	12.572354
1415899_at	15	CEL-15_93879270	6.601451	0.981000	24.638513	16.680193	15.238817
1415900_a_at	3	rs13477062	12.718638	0.122000	18.229836	14.232786	13.068136
1415901_at	5	rs13478539	14.852042	0.089000	23.536800	16.171633	14.553521
1415902_at	7	rs3658777	11.486213	0.415000	25.467976	16.921120	15.262938
1415903_at	15	rs13482726	40.097905	0.000065	30.707387	18.460172	16.447634
1415904_at	8	rs8253516	35.668512	0.000106	29.291122	18.241981	16.310643
1415905_at	8	rs6400423	8.137750	0.877000	23.937938	16.999424	15.485448
1415906_at	18	rs13483221	7.971094	0.829000	22.663240	14.081367	13.229403
1415907_at	6	rs3682699	6.269922	0.922000	17.754989	12.121224	11.161547
1415908_at	16	rs4186283	10.019896	0.325000	18.224116	13.456076	11.961127
1415909_at	10	rs13480570	12.347960	0.290000	25.284149	15.970790	14.450955
1415910_s_at	19	rs6193060	7.856093	0.861000	23.819188	15.157173	13.573632
1415911_at	14	rs13482225	8.983227	0.816000	27.490026	17.830259	16.168937
1415913_at	12	rs13481565	10.291064	0.138000	18.597073	11.767813	10.631560
1415914_at	5	rs3662682	9.307052	0.533000	22.456273	13.815292	12.765598
1415915_at	10	gnf10.025.923	6.294594	0.974000	17.325560	12.926129	11.928843
1415916_a_at	12	rs3686437	5.503603	0.988000	16.044813	12.144554	11.271803
1415917_at	12	rs6170344	7.911045	0.520000	16.051608	11.410904	10.422264
1415919_at	9	rs13459110	9.383994	0.682000	22.040057	16.335411	14.619597
1415920_at	5	rs3657916	10.080866	0.564000	19.914687	15.626141	14.235890
1415921_a_at	15	D15Mit63	9.353466	0.717000	27.492492	17.205288	15.600219
1415922_s_at	18	rs13483314	12.310294	0.244000	32.580208	15.463623	14.305184
1415923_at	8	rs3717251	7.021643	0.932000	19.662862	15.267724	13.702573
1415924_at	8	rs13479842	7.381382	0.945000	21.891314	16.698693	14.980816
1415925_a_at	9	rs3705403	9.692083	0.346000	22.292534	13.255817	12.045405
1415926_at	14	rs3692863	9.731554	0.315000	19.232575	13.144755	11.886176
1415927_at	3	rs13477308	6.298235	0.783000	16.025568	10.763199	9.680058
1415928_a_at	18	rs13483377	9.027139	0.773000	28.035571	17.417261	15.809931
1415929_at	14	rs3692863	7.926014	0.884000	23.963420	14.937745	13.884331
1415931_at	4	rs6316136	7.927274	0.836000	25.291697	15.151023	13.743885
1415932_x_at	10	rs6237927	11.017025	0.169000	20.894647	13.102291	11.794376
1415933_a_at	18	rs13483377	10.395910	0.522000	24.496986	15.858812	14.086682
1415934_at	1	rs13476267	8.339448	0.511000	16.080614	12.090981	10.954521
1415935_at	1	rs13476187	11.707936	0.313000	31.748678	15.726858	14.346359
1415936_at	3	mCV22953681	12.607494	0.232000	26.859457	16.087923	14.629978
1415937_s_at	1	rs3687595	16.021933	0.093000	33.650921	17.272989	15.914588
1415938_at	19	D19Mit40	8.616854	0.815000	25.007726	15.822666	14.433151
1415939_at	X	rs13483712	9.616648	0.629000	21.112188	15.738578	14.277549
1415940_at	8	rs13479605	11.766452	0.328000	24.277380	16.018425	14.508037
1415941_s_at	11	CEL-11_121219118	7.183261	0.958000	24.816715	16.103136	15.021327
1415943_at	11	rs3714397	14.407324	0.165000	29.308172	17.325057	15.790177
1415944_at	8	rs6343961	11.146430	0.320000	20.510660	15.000407	13.635081
1415945_at	14	rs13482218	16.274700	0.085000	28.182575	17.631659	15.859329
1415946_at	1	gnf01.107.327	8.568346	0.638000	22.888287	13.240859	12.104013
1415947_at	2	D2Mit205	11.263566	0.331000	19.614379	14.884850	13.767156
1415948_at	1	rs4222763	34.258673	0.000127	28.746314	17.890185	16.069884
1415949_at	2	rs3708635	7.801809	0.778000	22.471426	13.416211	12.464501
1415951_at	9	rs6167970	11.635906	0.225000	19.478083	14.196009	13.246988
1415952_at	12	rs13481599	10.909416	0.570000	31.936176	18.266358	16.304705
1415953_s_at	5	rs13478563	12.537725	0.318000	27.909598	17.358919	15.817901
1415955_x_at	8	rs13479605	8.603451	0.787000	23.015903	16.023249	14.407285
1415956_a_at	3	rs13477011	10.574386	0.546000	28.177171	16.907400	15.190977
1415957_a_at	18	rs4231742	10.792642	0.288000	22.738353	13.707123	12.580718
1415958_at	4	CEL-4_95227224	10.994330	0.246000	21.189015	13.884913	12.618773
1415959_at	8	rs13479605	9.234183	0.703000	20.889111	15.407682	14.302369
1415960_at	8	rs6343961	7.664545	0.874000	19.639465	14.326619	13.054658
1415961_at	2	rs13459060	6.450349	0.824000	15.742340	10.889074	9.940898
1415962_at	5	D5Mit388	7.660198	0.786000	21.348470	12.972137	12.162973
1415964_at	1	rs6174159	11.935640	0.272000	22.623707	15.437765	14.177169
1415965_at	18	rs13483213	12.841162	0.301000	24.751180	17.178342	15.863807
1415966_a_at	16	rs4221305	9.620815	0.601000	24.566733	15.548569	14.276775
1415967_at	4	rs3704486	8.511201	0.766000	27.581191	14.947142	13.982804
1415969_s_at	11	rs13480951	10.164961	0.518000	23.541515	15.678421	14.231133
1415970_at	12	gnf12.084.566	9.260101	0.668000	25.352959	15.397573	14.056596
1415971_at	1	mCV23695025	8.588429	0.808000	24.973297	16.380633	14.524832
1415972_at	8	rs13479914	10.987489	0.467000	24.209316	16.424593	14.972981
1415973_at	1	mCV23695025	8.739785	0.808000	22.128561	16.349231	14.618121
1415974_at	1	CEL-1_182091301	10.620110	0.431000	24.374342	15.448708	14.283405
1415975_at	1	gnf01.107.327	10.796867	0.388000	20.432333	15.026776	13.630214
1415976_a_at	8	gnf08.119.598	10.075385	0.607000	25.032727	16.395080	14.525793
1415977_at	14	rs3723413	8.576271	0.633000	23.435945	13.243938	12.105021
1415978_at	14	rs3689508	14.064798	0.076000	21.883050	14.947038	13.613868
1415981_at	15	rs13482420	11.127346	0.421000	22.865242	16.126068	14.592813
1415982_at	2	rs13476419	9.283406	0.629000	21.480402	15.173716	14.087207
1415983_at	10	rs13480802	8.441785	0.791000	24.274302	15.669705	13.790647
1415984_at	12	rs6170344	7.952864	0.812000	19.907855	13.959919	12.882572
1415985_at	19	rs6191324	7.856280	0.900000	22.625530	16.214509	14.653393
1415986_at	14	rs3710916	11.664478	0.337000	21.837561	16.228157	14.570486
1415987_at	15	D15Mit63	10.122599	0.528000	21.018853	15.711691	14.231740
1415988_at	1	gnf01.063.789	6.461824	0.988000	26.162382	17.883636	15.763821
1415989_at	12	rs6170344	9.576944	0.711000	27.801090	18.001645	16.089943
1415990_at	12	rs13481599	10.682645	0.497000	22.556442	16.279339	14.751182
1415991_a_at	7	rs8261944	8.457734	0.835000	26.739258	17.011066	15.042609
1415992_at	4	rs6232550	8.923518	0.809000	32.259493	17.752612	15.659946
1415993_at	8	gnf08.119.598	9.570207	0.681000	25.916296	16.930704	15.225630
1415994_at	2	rs13476419	10.450905	0.208000	19.376410	12.553592	11.622923
1415995_at	6	rs13478641	6.558860	0.976000	31.538187	15.212697	13.777726
1415996_at	2	rs6323360	12.075906	0.274000	25.965966	15.799302	14.478583
1415997_at	14	UT_9_81.82101	12.317950	0.328000	28.448010	17.663626	15.529047
1415998_at	5	rs13478499	10.107037	0.328000	16.134119	12.912188	12.114380
1415999_at	12	rs13481565	9.441221	0.629000	20.686828	15.079928	13.767009
1416000_a_at	5	rs3662682	7.459159	0.929000	22.170990	15.766528	14.359731
1416001_a_at	8	rs13479605	10.674651	0.490000	23.617219	16.156771	15.048502
1416002_x_at	12	gnf12.033.545	13.619581	0.170000	24.831915	15.987557	14.551121
1416003_at	4	rs3663299	14.812979	0.109000	24.570765	16.538950	14.946424
1416006_at	9	rs3725272	9.495383	0.448000	19.500109	12.999537	11.929850
1416007_at	1	rs4222763	8.228813	0.867000	24.901857	16.379345	14.894491
1416008_at	15	rs13482420	9.838978	0.603000	22.070027	15.563881	14.138221
1416009_at	3	rs3674751	7.151421	0.939000	23.644988	14.526954	13.598759
1416010_a_at	3	rs13476950	9.935408	0.581000	24.939795	16.107741	14.612721
1416011_x_at	3	rs6405415	9.112796	0.630000	23.928036	14.567217	13.588189
1416012_at	14	rs6352085	9.040296	0.704000	20.903851	15.266862	14.373090
1416013_at	10	rs6237927	7.288671	0.882000	21.280651	13.383100	12.396337
1416014_at	5	rs13478563	13.232925	0.201000	22.138156	16.492840	14.699637
1416015_s_at	9	rs13480365	6.912002	0.879000	19.606286	12.759056	11.557662
1416016_at	8	rs13479605	10.961082	0.474000	24.693885	16.322104	14.649758
1416017_at	14	rs3689508	12.990287	0.125000	22.275826	14.808637	13.464851
1416018_at	16	rs4221305	12.783249	0.233000	21.488099	16.783876	14.915388
1416019_at	12	rs6170344	11.893927	0.314000	26.649795	16.357017	14.934276
1416024_x_at	10	rs13480570	6.339746	0.981000	23.310261	16.017354	14.702801
1416025_at	8	rs13479605	10.763458	0.470000	24.707168	15.581800	14.121676
1416027_at	2	rs13459060	7.991717	0.818000	25.615865	14.721264	13.306659
1416029_at	4	rs3679281	10.748845	0.397000	20.319060	14.804853	13.687034
1416030_a_at	14	rs3710916	10.052294	0.207000	22.173814	12.080618	11.179786
1416032_at	9	rs8254361	12.480086	0.300000	31.026555	17.303931	15.515332
1416033_at	5	CEL-5_3149134	9.364858	0.727000	25.472133	16.899501	15.148636
1416035_at	2	rs13476419	8.202790	0.860000	22.344796	15.935388	14.367870
1416036_at	18	rs13483183	8.958661	0.760000	25.656348	16.595256	14.806783
1416037_a_at	9	rs3705403	12.488665	0.116000	18.361225	13.891556	12.667928
1416038_at	3	rs13476963	10.607180	0.494000	24.049337	16.176989	14.754273
1416039_x_at	9	gnf09.110.002	12.484491	0.254000	27.912398	16.756372	14.817349
1416040_at	15	rs13482731	10.156281	0.305000	24.969939	13.211161	12.164134
1416041_at	14	rs13482225	16.883390	0.057000	26.533096	17.211021	15.174980
1416042_s_at	14	rs3689508	6.593960	0.954000	20.221096	13.479880	12.566485
1416043_at	18	D18Mit4	6.160578	0.997000	28.223476	17.097671	15.591139
1416044_at	14	rs3710916	14.700647	0.011000	18.949459	12.791445	11.719947
1416045_a_at	9	rs6167970	11.503891	0.305000	23.434060	15.883667	14.161960
1416046_a_at	10	rs3721803	23.298522	0.001250	23.653861	16.599531	15.029947
1416047_at	10	rs3721803	14.089296	0.088000	22.258941	15.127805	13.910904
1416048_at	10	rs13480575	7.637405	0.737000	14.487575	11.506180	10.742650
1416049_at	15	rs13482420	6.172189	0.987000	20.026323	14.009146	13.057720
1416050_a_at	3	rs13477176	7.342695	0.724000	22.381216	12.092498	11.006353
1416051_at	2	rs13459060	9.618820	0.391000	18.583024	13.095141	12.083943
1416052_at	2	rs13459060	10.227620	0.605000	31.490788	16.909970	15.374145
1416053_at	5	rs13478563	15.035377	0.122000	27.234675	17.643394	15.690881
1416054_at	4	rs3666537	9.401161	0.405000	18.645088	12.877982	11.837470
1416057_at	5	D5Mit388	8.437741	0.777000	20.057090	14.528303	13.533322
1416059_at	14	rs3689508	8.932367	0.603000	21.783975	14.150551	12.877348
1416060_at	10	rs13480778	15.791795	0.101000	31.144459	17.318654	15.921896
1416061_at	12	rs6170344	8.983954	0.750000	23.745431	16.466392	14.801505
1416062_at	1	rs3670611	5.588334	0.999000	24.597863	15.551517	14.407533
1416063_x_at	4	rs6316136	6.312695	0.986000	26.965262	16.579422	14.791808
1416064_a_at	10	rs13480570	10.567232	0.512000	22.575791	16.746596	14.934945
1416065_a_at	18	rs13483213	13.226619	0.225000	26.049600	16.938783	15.334448
1416066_at	2	rs6170908	10.419988	0.475000	20.898870	14.976777	13.885462
1416067_at	2	rs3709716	11.993152	0.340000	31.671893	17.125052	15.196359
1416068_at	13	rs3724755	6.453304	0.936000	20.485836	13.058418	11.800689
1416069_at	10	rs13480575	6.955035	0.900000	18.819011	12.370694	11.644115
1416071_at	8	rs13479656	13.036830	0.155000	23.940646	15.635226	14.047306
1416072_at	10	rs6237927	6.421825	0.970000	21.836722	14.764748	13.541101
1416073_a_at	12	rs6170344	10.066576	0.381000	19.752196	14.199719	12.929810
1416075_at	14	rs3710916	11.279172	0.463000	34.547240	17.924054	15.551032
